year,month,age,user type,trips,avgtripdur
2017,Jan,50,Subscriber,12576,12.11376961
2017,Jan,51,Customer,12,17.11527778
2017,Jan,51,Subscriber,12528,12.25641363
2017,Jan,52,Customer,29,22.04712644
2017,Jan,52,Subscriber,12584,13.5702784
2017,Jan,53,Customer,64,19.62291667
2017,Jan,53,Subscriber,12734,16.13305063
2017,Jan,54,Customer,35,19.44952381
2017,Jan,54,Subscriber,12115,12.39851149
2017,Jan,55,Customer,31,21.84516129
2017,Jan,55,Subscriber,12466,12.08079443
2017,Jan,56,Customer,12,30.78055556
2017,Jan,56,Subscriber,10112,12.42859474
2017,Jan,57,Customer,45,21.63259259
2017,Jan,57,Subscriber,10767,12.76768212
2017,Jan,58,Customer,12,16.85972222
2017,Jan,58,Subscriber,9469,12.51976801
2017,Jan,59,Customer,22,27.4280303
2017,Jan,59,Subscriber,7895,12.22738442
2017,Jan,60,Customer,11,31.19848485
2017,Jan,60,Subscriber,7178,12.38411814
2017,Jan,61,Customer,4,46.69166667
2017,Jan,61,Subscriber,6304,13.07440514
2017,Jan,62,Customer,4,42.32083333
2017,Jan,62,Subscriber,5264,13.20366641
2017,Jan,63,Subscriber,4756,13.15684399
2017,Jan,64,Customer,1,10
2017,Jan,64,Subscriber,5132,11.0396564
2017,Jan,65,Customer,6,63.51111111
2017,Jan,65,Subscriber,3079,12.14028905
2017,Jan,66,Customer,16,27.86979167
2017,Jan,66,Subscriber,2825,13.43028319
2017,Jan,67,Subscriber,2105,12.92319082
2017,Jan,68,Customer,8,25.34375
2017,Jan,68,Subscriber,1788,15.9420302
2017,Jan,69,Customer,4,19.25416667
2017,Jan,69,Subscriber,1604,12.2736596
2017,Jan,70,Customer,1,20.15
2017,Jan,70,Subscriber,1384,11.72183285
2017,Jan,71,Subscriber,1148,10.4710511
2017,Jan,72,Subscriber,574,9.712108014
2017,Jan,73,Subscriber,468,12.15402422
2017,Jan,74,Customer,1,22.36666667
2017,Jan,74,Subscriber,401,12.13724023
2017,Jan,75,Subscriber,571,11.44381203
2017,Jan,76,Subscriber,459,11.86866376
2017,Jan,77,Subscriber,322,11.20724638
2017,Jan,78,Subscriber,85,11.18941176
2017,Jan,79,Subscriber,187,12.38315508
2017,Jan,80,Subscriber,10,14.16
2017,Jan,81,Subscriber,44,12.89810606
2017,Jan,82,Subscriber,10,14.635
2017,Jan,83,Subscriber,62,12.0766129
2017,Jan,85,Subscriber,23,6.755072464
2017,Jan,86,Subscriber,7,20.94761905
2017,Jan,91,Subscriber,10,11.68333333
2017,Jan,94,Subscriber,12,6.4875
2017,Jan,96,Subscriber,14,3.25
2017,Jan,97,Subscriber,1,22.88333333
2017,Jan,99,Subscriber,11,7.784848485
2017,Jan,100,Subscriber,6,5.527777778
2017,Jan,102,Subscriber,8,59.50208333
2017,Jan,105,Subscriber,21,15.07380952
2017,Jan,107,Subscriber,13,2.398717949
2017,Jan,116,Subscriber,24,16.49236111
2017,Jan,117,Subscriber,90,13.53092593
2017,Jan,118,Subscriber,25,16.24133333
2017,Jan,122,Subscriber,3,11.10555556
2017,Jan,124,Subscriber,6,11.825
2017,Jan,131,Subscriber,10,27.03166667
2017,Jan,132,Subscriber,56,14.9889881
2017,Feb,16,Subscriber,5,20.16
2017,Feb,17,Subscriber,820,12.52471545
2017,Feb,18,Customer,50,24.86733333
2017,Feb,18,Subscriber,1706,10.94653185
2017,Feb,19,Customer,307,23.19147666
2017,Feb,19,Subscriber,2093,11.18653448
