year,month,age,usertype,Trips,Avgtripdur
2018,Feb,31,Subscriber,28743,11.28767932
2018,Feb,32,Customer,266,30.78489975
2018,Feb,32,Subscriber,29530,10.96163562
2018,Feb,33,Customer,212,23.30369497
2018,Feb,33,Subscriber,30002,11.36749883
2018,Feb,34,Customer,229,23.82227074
2018,Feb,34,Subscriber,27075,10.72965959
2018,Feb,35,Customer,200,163.3595
2018,Feb,35,Subscriber,25682,11.38567155
2018,Feb,36,Customer,164,167.2671748
2018,Feb,36,Subscriber,24800,11.70047849
2018,Feb,37,Customer,205,21.44365854
2018,Feb,37,Subscriber,23226,11.18673326
2018,Feb,38,Customer,263,22.68453739
2018,Feb,38,Subscriber,20753,11.65753144
2018,Feb,39,Customer,126,91.33492063
2018,Feb,39,Subscriber,21038,11.03951104
2018,Feb,40,Customer,150,23.59044444
2018,Feb,40,Subscriber,19075,12.57490957
2018,Feb,41,Customer,93,26.43387097
2018,Feb,41,Subscriber,17742,11.69609214
2018,Feb,42,Customer,72,44.17037037
2018,Feb,42,Subscriber,17652,11.65077895
2018,Feb,43,Customer,53,31.33301887
2018,Feb,43,Subscriber,16436,13.54156222
2018,Feb,44,Customer,176,19.23541667
2018,Feb,44,Subscriber,15729,11.19403437
2018,Feb,45,Customer,81,25.8191358
2018,Feb,45,Subscriber,16341,12.64327153
2018,Feb,46,Customer,180,135.5988889
2018,Feb,46,Subscriber,14874,12.34731186
2018,Feb,47,Customer,89,37.84082397
2018,Feb,47,Subscriber,15763,11.24982448
2018,Feb,48,Customer,126,31.63306878
2018,Feb,48,Subscriber,17784,13.03144025
2018,Feb,49,Customer,25533,51.29668468
2018,Feb,49,Subscriber,25691,12.15034513
2018,Feb,50,Customer,168,22.83958333
2018,Feb,50,Subscriber,15130,12.05699383
2018,Feb,51,Customer,37,20.51801802
2018,Feb,51,Subscriber,14071,11.72580958
2018,Feb,52,Customer,34,20.48529412
2018,Feb,52,Subscriber,13266,11.61309362
2018,Feb,53,Customer,103,7.078478964
2018,Feb,53,Subscriber,12772,11.84995302
2018,Feb,54,Customer,93,16.63924731
2018,Feb,54,Subscriber,13145,11.50361481
