year,month,starthour,season,weekday,trips
2018,Mar,00,Spring,Saturday,1612
2018,Mar,00,Spring,Sunday,1475
2018,Mar,00,Spring,Thursday,860
2018,Mar,00,Spring,Tuesday,641
2018,Mar,00,Spring,Wednesday,780
2018,Mar,01,Spring,Friday,619
2018,Mar,01,Spring,Monday,356
2018,Mar,01,Spring,Saturday,996
2018,Mar,01,Spring,Sunday,968
2018,Mar,01,Spring,Thursday,422
2018,Mar,01,Spring,Tuesday,297
2018,Mar,01,Spring,Wednesday,329
2018,Mar,02,Spring,Friday,301
2018,Mar,02,Spring,Monday,218
2018,Mar,02,Spring,Saturday,586
2018,Mar,02,Spring,Sunday,494
2018,Mar,02,Spring,Thursday,233
2018,Mar,02,Spring,Tuesday,168
2018,Mar,02,Spring,Wednesday,150
2018,Mar,03,Spring,Friday,181
2018,Mar,03,Spring,Monday,137
2018,Mar,03,Spring,Saturday,384
2018,Mar,03,Spring,Sunday,454
2018,Mar,03,Spring,Thursday,147
2018,Mar,03,Spring,Tuesday,124
2018,Mar,03,Spring,Wednesday,128
2018,Mar,04,Spring,Friday,225
2018,Mar,04,Spring,Monday,209
2018,Mar,04,Spring,Saturday,284
2018,Mar,04,Spring,Sunday,298
2018,Mar,04,Spring,Thursday,212
2018,Mar,04,Spring,Tuesday,215
2018,Mar,04,Spring,Wednesday,214
2018,Mar,05,Spring,Friday,1133
2018,Mar,05,Spring,Monday,1272
2018,Mar,05,Spring,Saturday,292
2018,Mar,05,Spring,Sunday,270
2018,Mar,05,Spring,Thursday,1199
2018,Mar,05,Spring,Tuesday,1177
2018,Mar,05,Spring,Wednesday,906
2018,Mar,06,Spring,Friday,3704
2018,Mar,06,Spring,Monday,4255
2018,Mar,06,Spring,Saturday,883
2018,Mar,06,Spring,Sunday,508
2018,Mar,06,Spring,Thursday,4543
2018,Mar,06,Spring,Tuesday,4019
2018,Mar,06,Spring,Wednesday,2970
2018,Mar,07,Spring,Friday,7687
2018,Mar,07,Spring,Monday,8901
