Número de registros,Número de registros por stations.json,Altitude,Available Bikes,Available Docks,City,Execution Time,Id,Land Mark,Last Communication Time,Latitude,Location,Longitude,Postal Code,stAddress1,stAddress2,stationBeanList Índice (generado),Station Name,Status Key,Status Value,Test Station,Total Docks,Índice Del Documento (Generado)
1,1,,1,31,,16/07/2019 14:13,3236,,16/07/2019 14:09,40.75898481,,-73.99379969,,W 42 St & Dyer Ave,,438,W 42 St & Dyer Ave,1,In Service,Falso,33,1
1,1,,3,16,,16/07/2019 14:13,3241,,16/07/2019 14:11,40.686203,,-73.944694,,Monroe St & Tompkins Ave,,439,Monroe St & Tompkins Ave,1,In Service,Falso,19,1
1,1,,26,11,,16/07/2019 14:13,3242,,16/07/2019 14:12,40.69102926,,-73.99183363,,Schermerhorn St & Court St,,440,Schermerhorn St & Court St,1,In Service,Falso,39,1
1,1,,2,26,,16/07/2019 14:13,3243,,16/07/2019 14:09,40.75892386,,-73.96226227,,E 58 St & 1 Ave (NE Corner),,441,E 58 St & 1 Ave (NE Corner),1,In Service,Falso,29,1
1,1,,3,36,,16/07/2019 14:13,3244,,16/07/2019 14:12,40.73143724,,-73.99490342,,University Pl & E 8 St,,442,University Pl & E 8 St,1,In Service,Falso,42,1
1,1,,8,10,,16/07/2019 14:13,3249,,16/07/2019 14:12,40.68035608,,-73.9476791,,Verona Pl & Fulton St,,443,Verona Pl & Fulton St,1,In Service,Falso,19,1
1,1,,20,5,,16/07/2019 14:13,3254,,16/07/2019 14:12,40.69231661,,-74.01486576,,Soissons Landing,,444,Soissons Landing,1,In Service,Falso,29,1
1,1,,8,11,,16/07/2019 14:13,3255,,16/07/2019 14:12,40.75058535,,-73.99468482,,8 Ave & W 31 St,,445,8 Ave & W 31 St,1,In Service,Falso,19,1
1,1,,6,10,,16/07/2019 14:13,3256,,16/07/2019 14:10,40.72771408,,-74.01129574,,Pier 40 - Hudson River Park,,446,Pier 40 - Hudson River Park,1,In Service,Falso,23,1
1,1,,6,19,,16/07/2019 14:13,3259,,16/07/2019 14:09,40.74937024,,-73.99923384,,9 Ave & W 28 St,,447,9 Ave & W 28 St,1,In Service,Falso,27,1
1,1,,28,17,,16/07/2019 14:13,3260,,16/07/2019 14:12,40.72706363,,-73.99662137,,Mercer St & Bleecker St,,448,Mercer St & Bleecker St,1,In Service,Falso,45,1
1,1,,14,42,,16/07/2019 14:13,3263,,16/07/2019 14:10,40.72951496,,-73.9907527,,Cooper Square & Astor Pl,,449,Cooper Square & Astor Pl,1,In Service,Falso,59,1
1,1,,2,12,,16/07/2019 14:13,3267,,16/07/2019 14:10,40.71241882,,-74.03852552,,Morris Canal,,450,Morris Canal,1,In Service,Falso,14,1
1,1,,0,14,,16/07/2019 14:13,3268,,16/07/2019 14:11,40.71346383,,-74.06285852,,Lafayette Park,,451,Lafayette Park,1,In Service,Falso,14,1
1,1,,6,7,,16/07/2019 14:13,3269,,16/07/2019 14:12,40.72601173,,-74.05038893,,Brunswick & 6th,,452,Brunswick & 6th,1,In Service,Falso,14,1
1,1,,2,12,,16/07/2019 14:13,3270,,16/07/2019 14:12,40.72528911,,-74.04557169,,Jersey & 6th St,,453,Jersey & 6th St,1,In Service,Falso,14,1
1,1,,2,12,,16/07/2019 14:13,3272,,16/07/2019 14:11,40.72333159,,-74.04595256,,Jersey & 3rd,,454,Jersey & 3rd,1,In Service,Falso,14,1
1,1,,10,8,,16/07/2019 14:13,3273,,16/07/2019 14:12,40.72165073,,-74.04288411,,Manila & 1st,,455,Manila & 1st,1,In Service,Falso,18,1
1,1,,8,5,,16/07/2019 14:13,3275,,16/07/2019 14:12,40.7183552,,-74.03891444,,Columbus Drive,,456,Columbus Drive,1,In Service,Falso,14,1
1,1,,2,24,,16/07/2019 14:13,3276,,16/07/2019 14:10,40.71458404,,-74.04281706,,Marin Light Rail,,457,Marin Light Rail,1,In Service,Falso,26,1
1,1,,2,12,,16/07/2019 14:13,3277,,16/07/2019 14:11,40.71435837,,-74.06661093,,Communipaw & Berry Lane,,458,Communipaw & Berry Lane,1,In Service,Falso,14,1
1,1,,2,12,,16/07/2019 14:13,3278,,16/07/2019 14:12,40.72568548,,-74.04879034,,Monmouth and 6th,,459,Monmouth and 6th,1,In Service,Falso,14,1
1,1,,4,14,,16/07/2019 14:13,3279,,16/07/2019 14:11,40.72163014,,-74.04996783,,Dixon Mills,,460,Dixon Mills,1,In Service,Falso,18,1
1,1,,2,12,,16/07/2019 14:13,3280,,16/07/2019 14:12,40.7192822,,-74.07126188,,Astor Place,,461,Astor Place,1,In Service,Falso,14,1
1,1,,4,10,,16/07/2019 14:13,3281,,16/07/2019 14:12,40.74590997,,-74.05727148,,Leonard Gordon Park,,462,Leonard Gordon Park,1,In Service,Falso,14,1
1,1,,27,11,,16/07/2019 14:13,3282,,16/07/2019 14:12,40.78307,,-73.95939,,5 Ave & E 88 St,,463,5 Ave & E 88 St,1,In Service,Falso,38,1
1,1,,0,45,,16/07/2019 14:13,3283,,16/07/2019 14:12,40.7882213,,-73.97041561,,W 89 St & Columbus Ave,,464,W 89 St & Columbus Ave,1,In Service,Falso,47,1
1,1,,0,38,,16/07/2019 14:13,3284,,16/07/2019 14:11,40.7814107,,-73.95595908,,E 88 St & Park Ave,,465,E 88 St & Park Ave,1,In Service,Falso,38,1
